ArraySize,S,Average Comparisons,Performance (ns)
10000000,81,367969421,2432342600
10000000,82,367941189,2405095200
10000000,83,367983381,2386401100
10000000,84,367956428,2384531200
10000000,85,367970123,2398787300
10000000,86,367981279,2387286600
10000000,87,367997526,2471864500
10000000,88,367957332,2470817900
10000000,89,367927532,2406966700
10000000,90,367989435,2347215000
10000000,91,368009747,2419218200
10000000,92,367957476,2405593800
10000000,93,368000407,2365957700
10000000,94,368005115,2453683200
10000000,95,367934730,2369912800
10000000,96,368021208,2422251900
10000000,97,367908555,2413667900
10000000,98,367964576,2338277900
10000000,99,367963885,2445721600
10000000,100,368003133,2426391800
